outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X7_inhibice_a_presun_pozornosti_pojm_cas,POR,MR:mental_age,1.54 (1.01),1.529,.132,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,DO,(Intercept),0.18 (0.55),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,DO,MR,0.46 (0.74),0.618,.539,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,DO,mental_age,-0.01 (0.07),-0.195,.846,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,DO,MR:mental_age,-0.02 (0.09),-0.190,.850,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,VE,(Intercept),0.28 (0.88),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,VE,MR,0.46 (1.24),0.370,.713,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,VE,mental_age,-0.03 (0.10),-0.278,.782,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,VE,MR:mental_age,-0.01 (0.14),-0.084,.934,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOD,(Intercept),0.12 (0.42),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOD,MR,0.75 (0.56),1.353,.182,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOD,mental_age,-0.01 (0.05),-0.214,.831,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOD,MR:mental_age,-0.05 (0.07),-0.770,.445,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,PO,(Intercept),-0.33 (0.67),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,PO,MR,-0.38 (0.93),-0.408,.685,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,PO,mental_age,0.05 (0.08),0.671,.505,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,PO,MR:mental_age,0.08 (0.11),0.733,.467,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,ŘO,(Intercept),0.13 (0.39),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,ŘO,MR,0.16 (0.52),0.318,.752,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,ŘO,mental_age,-0.01 (0.04),-0.266,.792,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,ŘO,MR:mental_age,0.02 (0.06),0.394,.695,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POČ,(Intercept),-0.00 (0.84),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POČ,MR,0.65 (1.12),0.577,.566,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POČ,mental_age,0.00 (0.11),0.000,1.000,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POČ,MR:mental_age,-0.03 (0.14),-0.232,.818,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOS,(Intercept),0.19 (0.67),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOS,MR,0.45 (0.81),0.563,.576,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOS,mental_age,-0.02 (0.09),-0.238,.813,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOS,MR:mental_age,-0.01 (0.11),-0.140,.889,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,SLO,(Intercept),0.19 (0.70),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,SLO,MR,0.95 (0.98),0.965,.339,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,SLO,mental_age,-0.02 (0.09),-0.173,.863,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,SLO,MR:mental_age,-0.08 (0.12),-0.649,.519,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POR,(Intercept),0.15 (0.50),,,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POR,MR,0.60 (0.67),0.901,.372,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POR,mental_age,-0.01 (0.06),-0.236,.814,,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POR,MR:mental_age,-0.03 (0.08),-0.385,.702,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,DO,(Intercept),0.58 (0.46),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,DO,MR,0.32 (0.62),0.513,.610,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,DO,mental_age,-0.04 (0.06),-0.656,.515,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,DO,MR:mental_age,-0.04 (0.08),-0.538,.593,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,VE,(Intercept),-0.45 (0.67),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,VE,MR,1.42 (0.95),1.497,.141,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,VE,mental_age,0.07 (0.08),0.940,.352,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,VE,MR:mental_age,-0.15 (0.11),-1.396,.169,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOD,(Intercept),0.89 (0.41),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOD,MR,-0.13 (0.53),-0.242,.810,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOD,mental_age,-0.08 (0.05),-1.646,.106,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOD,MR:mental_age,0.02 (0.06),0.272,.787,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,PO,(Intercept),0.87 (0.58),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,PO,MR,-0.99 (0.80),-1.236,.222,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,PO,mental_age,-0.05 (0.07),-0.774,.442,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,PO,MR:mental_age,0.10 (0.09),1.076,.287,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,ŘO,(Intercept),0.86 (0.36),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,ŘO,MR,0.01 (0.48),0.013,.990,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,ŘO,mental_age,-0.07 (0.04),-1.784,.080,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,ŘO,MR:mental_age,0.00 (0.05),0.017,.986,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POČ,(Intercept),1.08 (0.82),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POČ,MR,-0.31 (1.10),-0.284,.778,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POČ,mental_age,-0.09 (0.11),-0.847,.401,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POČ,MR:mental_age,0.03 (0.14),0.183,.855,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOS,(Intercept),0.96 (0.68),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOS,MR,-0.76 (0.81),-0.930,.357,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOS,mental_age,-0.08 (0.09),-0.910,.367,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOS,MR:mental_age,0.09 (0.11),0.851,.399,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,SLO,(Intercept),0.53 (0.55),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,SLO,MR,-0.53 (0.77),-0.692,.492,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,SLO,mental_age,-0.04 (0.07),-0.581,.564,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,SLO,MR:mental_age,0.08 (0.10),0.796,.430,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POR,(Intercept),0.60 (0.49),,,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POR,MR,-0.68 (0.65),-1.042,.302,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POR,mental_age,-0.04 (0.06),-0.733,.467,,
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POR,MR:mental_age,0.09 (0.08),1.134,.262,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,DO,(Intercept),0.76 (0.75),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,DO,MR,0.78 (1.02),0.761,.450,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,DO,mental_age,-0.05 (0.09),-0.543,.589,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,DO,MR:mental_age,-0.06 (0.12),-0.467,.643,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,VE,(Intercept),-0.17 (1.16),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,VE,MR,1.88 (1.65),1.143,.258,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,VE,mental_age,0.04 (0.13),0.332,.741,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,VE,MR:mental_age,-0.17 (0.19),-0.869,.389,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOD,(Intercept),1.02 (0.60),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOD,MR,0.62 (0.78),0.794,.431,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOD,mental_age,-0.09 (0.07),-1.267,.211,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOD,MR:mental_age,-0.03 (0.09),-0.360,.720,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,PO,(Intercept),0.53 (0.96),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,PO,MR,-1.37 (1.33),-1.031,.307,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,PO,mental_age,0.00 (0.11),0.003,.998,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,PO,MR:mental_age,0.18 (0.15),1.161,.251,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,ŘO,(Intercept),1.00 (0.55),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,ŘO,MR,0.17 (0.73),0.232,.817,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,ŘO,mental_age,-0.08 (0.06),-1.346,.184,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,ŘO,MR:mental_age,0.02 (0.08),0.289,.774,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POČ,(Intercept),1.08 (1.23),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POČ,MR,0.34 (1.65),0.203,.840,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POČ,mental_age,-0.09 (0.16),-0.567,.573,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POČ,MR:mental_age,-0.01 (0.21),-0.035,.972,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOS,(Intercept),1.16 (0.99),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOS,MR,-0.30 (1.19),-0.255,.800,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOS,mental_age,-0.10 (0.13),-0.785,.436,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOS,MR:mental_age,0.08 (0.16),0.488,.628,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,SLO,(Intercept),0.72 (0.95),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,SLO,MR,0.42 (1.35),0.310,.758,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,SLO,mental_age,-0.05 (0.12),-0.459,.648,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,SLO,MR:mental_age,-0.00 (0.17),-0.019,.985,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POR,(Intercept),0.75 (0.73),,,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POR,MR,-0.08 (0.97),-0.080,.936,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POR,mental_age,-0.06 (0.09),-0.650,.518,,
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POR,MR:mental_age,0.06 (0.12),0.494,.623,,
X7_inhibice_a_presun_pozornosti_inhi_cas,DO,(Intercept),67.67 (11.84),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,DO,MR,-34.80 (16.00),-2.176,.034,*,
X7_inhibice_a_presun_pozornosti_inhi_cas,DO,mental_age,-3.63 (1.42),-2.558,.013,*,
X7_inhibice_a_presun_pozornosti_inhi_cas,DO,MR:mental_age,3.90 (1.92),2.025,.048,*,
X7_inhibice_a_presun_pozornosti_inhi_cas,VE,(Intercept),44.16 (13.27),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,VE,MR,35.03 (18.84),1.860,.069,,
X7_inhibice_a_presun_pozornosti_inhi_cas,VE,mental_age,-1.37 (1.53),-0.895,.375,,
X7_inhibice_a_presun_pozornosti_inhi_cas,VE,MR:mental_age,-3.78 (2.18),-1.737,.088,,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOD,(Intercept),56.98 (7.96),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOD,MR,-5.02 (10.41),-0.483,.631,,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOD,mental_age,-2.38 (0.94),-2.517,.015,*,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOD,MR:mental_age,0.19 (1.25),0.153,.879,,
X7_inhibice_a_presun_pozornosti_inhi_cas,PO,(Intercept),52.05 (11.54),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,PO,MR,5.29 (15.98),0.331,.742,,
X7_inhibice_a_presun_pozornosti_inhi_cas,PO,mental_age,-1.88 (1.34),-1.397,.168,,
X7_inhibice_a_presun_pozornosti_inhi_cas,PO,MR:mental_age,-0.78 (1.86),-0.417,.679,,
X7_inhibice_a_presun_pozornosti_inhi_cas,ŘO,(Intercept),63.50 (7.34),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,ŘO,MR,-18.59 (9.73),-1.911,.061,,
X7_inhibice_a_presun_pozornosti_inhi_cas,ŘO,mental_age,-3.02 (0.78),-3.877,< .001,*,
X7_inhibice_a_presun_pozornosti_inhi_cas,ŘO,MR:mental_age,1.88 (1.04),1.803,.077,,
X7_inhibice_a_presun_pozornosti_inhi_cas,POČ,(Intercept),58.54 (17.64),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,POČ,MR,12.18 (23.67),0.515,.609,,
X7_inhibice_a_presun_pozornosti_inhi_cas,POČ,mental_age,-2.61 (2.26),-1.155,.253,,
X7_inhibice_a_presun_pozornosti_inhi_cas,POČ,MR:mental_age,-2.05 (3.04),-0.674,.503,,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOS,(Intercept),55.28 (13.08),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOS,MR,-5.39 (15.76),-0.342,.734,,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOS,mental_age,-2.21 (1.69),-1.307,.197,,
X7_inhibice_a_presun_pozornosti_inhi_cas,KOS,MR:mental_age,0.14 (2.07),0.070,.945,,
X7_inhibice_a_presun_pozornosti_inhi_cas,SLO,(Intercept),60.67 (13.47),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,SLO,MR,-9.17 (18.99),-0.483,.631,,
X7_inhibice_a_presun_pozornosti_inhi_cas,SLO,mental_age,-3.10 (1.67),-1.855,.069,,
X7_inhibice_a_presun_pozornosti_inhi_cas,SLO,MR:mental_age,1.02 (2.36),0.432,.668,,
X7_inhibice_a_presun_pozornosti_inhi_cas,POR,(Intercept),61.48 (9.85),,,,
X7_inhibice_a_presun_pozornosti_inhi_cas,POR,MR,-33.50 (13.13),-2.551,.014,*,
X7_inhibice_a_presun_pozornosti_inhi_cas,POR,mental_age,-3.07 (1.19),-2.573,.013,*,
X7_inhibice_a_presun_pozornosti_inhi_cas,POR,MR:mental_age,3.97 (1.60),2.477,.017,*,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,DO,(Intercept),0.81 (1.41),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,DO,MR,1.11 (1.91),0.581,.564,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,DO,mental_age,0.02 (0.17),0.138,.891,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,DO,MR:mental_age,-0.17 (0.23),-0.735,.466,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,VE,(Intercept),4.94 (3.31),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,VE,MR,-1.30 (4.69),-0.277,.783,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,VE,mental_age,-0.46 (0.38),-1.213,.231,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,VE,MR:mental_age,0.13 (0.54),0.233,.817,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOD,(Intercept),1.01 (0.98),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOD,MR,1.03 (1.28),0.805,.424,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOD,mental_age,-0.02 (0.12),-0.205,.838,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOD,MR:mental_age,-0.14 (0.15),-0.932,.355,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,PO,(Intercept),0.18 (1.40),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,PO,MR,0.46 (1.94),0.238,.813,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,PO,mental_age,0.05 (0.16),0.285,.777,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,PO,MR:mental_age,-0.03 (0.23),-0.148,.883,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,ŘO,(Intercept),1.75 (0.96),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,ŘO,MR,0.32 (1.27),0.255,.800,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,ŘO,mental_age,-0.10 (0.10),-0.978,.332,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,ŘO,MR:mental_age,-0.05 (0.14),-0.393,.696,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POČ,(Intercept),1.27 (1.98),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POČ,MR,0.39 (2.65),0.147,.884,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POČ,mental_age,-0.07 (0.25),-0.266,.791,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POČ,MR:mental_age,-0.05 (0.34),-0.151,.880,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOS,(Intercept),-1.52 (1.69),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOS,MR,3.21 (2.03),1.578,.121,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOS,mental_age,0.33 (0.22),1.499,.140,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOS,MR:mental_age,-0.46 (0.27),-1.716,.092,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,SLO,(Intercept),0.29 (1.45),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,SLO,MR,1.53 (2.04),0.748,.458,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,SLO,mental_age,0.05 (0.18),0.272,.786,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,SLO,MR:mental_age,-0.18 (0.25),-0.724,.472,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POR,(Intercept),0.49 (1.04),,,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POR,MR,-0.68 (1.39),-0.488,.628,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POR,mental_age,0.02 (0.13),0.151,.881,,
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POR,MR:mental_age,0.10 (0.17),0.593,.556,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,DO,(Intercept),3.40 (1.06),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,DO,MR,-1.40 (1.43),-0.977,.333,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,DO,mental_age,-0.31 (0.13),-2.462,.017,*,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,DO,MR:mental_age,0.17 (0.17),1.012,.316,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,VE,(Intercept),-0.42 (1.10),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,VE,MR,2.45 (1.56),1.576,.121,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,VE,mental_age,0.10 (0.13),0.814,.419,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,VE,MR:mental_age,-0.24 (0.18),-1.313,.195,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOD,(Intercept),2.22 (0.89),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOD,MR,-0.95 (1.16),-0.813,.420,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOD,mental_age,-0.15 (0.11),-1.424,.160,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOD,MR:mental_age,0.10 (0.14),0.723,.473,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,PO,(Intercept),2.19 (0.73),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,PO,MR,-1.58 (1.01),-1.553,.127,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,PO,mental_age,-0.21 (0.09),-2.502,.016,*,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,PO,MR:mental_age,0.25 (0.12),2.079,.043,*,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,ŘO,(Intercept),2.72 (0.76),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,ŘO,MR,-1.10 (1.01),-1.089,.281,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,ŘO,mental_age,-0.21 (0.08),-2.651,.011,*,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,ŘO,MR:mental_age,0.13 (0.11),1.213,.231,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POČ,(Intercept),0.92 (1.14),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POČ,MR,0.23 (1.54),0.150,.882,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POČ,mental_age,-0.01 (0.15),-0.090,.928,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POČ,MR:mental_age,-0.02 (0.20),-0.105,.916,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOS,(Intercept),3.08 (1.37),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOS,MR,-1.16 (1.65),-0.704,.484,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOS,mental_age,-0.29 (0.18),-1.626,.110,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOS,MR:mental_age,0.14 (0.22),0.670,.506,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,SLO,(Intercept),1.20 (0.92),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,SLO,MR,-0.81 (1.30),-0.624,.535,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,SLO,mental_age,-0.07 (0.11),-0.652,.517,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,SLO,MR:mental_age,0.14 (0.16),0.856,.396,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POR,(Intercept),2.60 (1.02),,,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POR,MR,-2.53 (1.36),-1.866,.068,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POR,mental_age,-0.22 (0.12),-1.792,.079,,
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POR,MR:mental_age,0.33 (0.17),1.973,.054,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,DO,(Intercept),4.21 (1.80),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,DO,MR,-0.29 (2.44),-0.119,.905,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,DO,mental_age,-0.29 (0.22),-1.338,.187,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,DO,MR:mental_age,0.01 (0.29),0.019,.985,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,VE,(Intercept),4.52 (3.72),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,VE,MR,1.15 (5.28),0.218,.828,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,VE,mental_age,-0.36 (0.43),-0.838,.406,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,VE,MR:mental_age,-0.11 (0.61),-0.180,.858,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOD,(Intercept),3.24 (1.42),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOD,MR,0.08 (1.86),0.045,.965,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOD,mental_age,-0.17 (0.17),-1.034,.306,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOD,MR:mental_age,-0.04 (0.22),-0.188,.851,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,PO,(Intercept),2.37 (1.74),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,PO,MR,-1.11 (2.41),-0.462,.646,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,PO,mental_age,-0.17 (0.20),-0.823,.414,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,PO,MR:mental_age,0.21 (0.28),0.756,.453,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,ŘO,(Intercept),4.47 (1.24),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,ŘO,MR,-0.78 (1.64),-0.475,.637,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,ŘO,mental_age,-0.31 (0.13),-2.393,.020,*,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,ŘO,MR:mental_age,0.08 (0.18),0.445,.658,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,POČ,(Intercept),2.20 (2.56),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,POČ,MR,0.62 (3.44),0.180,.858,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,POČ,mental_age,-0.08 (0.33),-0.246,.807,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,POČ,MR:mental_age,-0.07 (0.44),-0.164,.870,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOS,(Intercept),1.56 (2.31),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOS,MR,2.05 (2.79),0.733,.467,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOS,mental_age,0.04 (0.30),0.130,.897,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOS,MR:mental_age,-0.31 (0.37),-0.853,.397,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,SLO,(Intercept),1.49 (1.95),,,,
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,SLO,MR,0.72 (2.74),0.262,.795,,
